P : 56534.3
Cargo :296,	z :0,	Path :2_46->4_46->4T47->4e48->4c49->4L50->4O51->4d53->4A54->4Q56->4P58-><
Cargo :297,	z :0.163043,	Path :2X12->3X13->3f15->2f16->4f16->4T17->4n19-><
Cargo :304,	z :0.568745,	Path :2K16->3K17->3O22->3O23->3B25->3B26->3B27->3o32->3_39->3_40->3U47->3U48->3A52-><
Cargo :304,	z :0.431255,	Path :2K19->3K20->3V24->3V25->3_34->3_35->2_36->2_37->2_38->2_39->3_40->3U47->3U48->3A52-><
Cargo :306,	z :0.0859849,	Path :2_19->3_20->3_21->3Y28->3h37->3h38->3p45->3p46->2p47->2p48->2p49->6p49->6D51-><
Cargo :309,	z :0.00752778,	Path :2J41->3J42->3f46->3f47->2f48->2f49->6f49->6a50->6k52->6M53-><
Cargo :314,	z :0.280951,	Path :2r48->3r49->3J52->3J53->3l60->3[64->3[65->2[66->6[66->6U67-><
Cargo :317,	z :0.176471,	Path :2C72->4C72->4b74->4S75->4Y76-><
Cargo :319,	z :0.123789,	Path :2_37->5_38->5Z40->5Z41->5e50->5e51->2e52->4e52->4O53->4h55->4o56->4g57->4^58-><
Cargo :320,	z :0.0120035,	Path :2W16->5W17->5a19->5a20->2a21->2a22->2a23->2a24->4a24->4G26->4F27-><
Cargo :320,	z :0.00177073,	Path :2W12->3W13->3h16->3h17->2h18->2h19->2h20->2h21->2h22->2h23->6h23->6U25->6F27-><
Cargo :320,	z :0.339623,	Path :2W11->4W11->4k13->4F14-><
Cargo :320,	z :0.339623,	Path :2W23->4W23->4k25->4F26-><
Cargo :321,	z :0.00500889,	Path :2\61->3\62->3c68->3c69->2c70->4c70->4L71->4O72->4h74-><
Cargo :325,	z :0.151515,	Path :2H5->4H5->4l6->4V7->4Q8->4T10->4o11-><
Cargo :328,	z :0.114612,	Path :2k32->4k32->4c33->4O35->4i37-><
Cargo :331,	z :0.557144,	Path :2h16->3h17->3K20->3V24->3V25->3_34->2_35->6_35->6`36->6N38-><
Cargo :331,	z :0.442856,	Path :2h16->3h17->3p24->3p25->2p26->6p26->6o28->6N29-><
Cargo :336,	z :0.0454545,	Path :2e48->4e48->4c49->4L50->4O51->4h53-><
Cargo :343,	z :0.371116,	Path :2r48->3r49->3P53->3P54->3R60->3R61->3C63->3C64->2C65->6C65->6V67->6B69-><
Cargo :344,	z :0.313725,	Path :2Q61->5Q62->5L66->5L67->2L68->2L69->2L70->2L71->4L71->4O72->4d74-><
Cargo :345,	z :0.0526306,	Path :2k53->4k53->4H55->4l56->4V57->4Q58-><
Cargo :347,	z :0.0920615,	Path :2P70->4P70->4B72->4r73-><
Cargo :357,	z :0.68,	Path :2L66->5L67->5O75->5O76->2O77->2O78->2O79->2O80->4O80->4R82-><
Cargo :360,	z :0.0290601,	Path :2]55->4]55->4S57->4f58->4T59->4o60-><
Cargo :361,	z :0.257576,	Path :2i49->4i49->4_51->4O52->4R54->4X56-><
Cargo :362,	z :1,	Path :2h16->3h17->3p24->3p25->3S32->3S33->2S34->2S35->2S36->2S37->2S38->3S39->3q47-><
Cargo :363,	z :0.55408,	Path :2B47->3B48->3o53->3o54->3Z60->3Z61->3\70->3\71->2\72->2\73->2\74->2\75->6\75->6]76-><
Cargo :365,	z :0.00133863,	Path :2T13->3T14->3T15->3P18->3P19->3Y23->3Y24->2Y25->6Y25->6S26->6U27->6_29->6G30-><
Cargo :372,	z :0.157361,	Path :2_32->4_32->4T33->4P34->4l35->4V36->4Q37->4k38-><
Cargo :374,	z :1,	Path :2V29->5V30->5`37->5`38->5O47->5O48->5O49->5h52->5h53->2h54->2h55->1h55->1K56-><
Cargo :380,	z :0.446147,	Path :2^30->4^30->4c32->4l34->4g36-><
Cargo :380,	z :0.553853,	Path :2^42->4^42->4c44->4l46->4g48-><
Cargo :383,	z :0.4236,	Path :2c54->3c55->3c56->3m63->3m64->3m65->2m66->2m67->2m68->2m69->6m69->6r70->6`72-><
Cargo :383,	z :0.5764,	Path :2c55->3c56->3m63->3m64->3m65->2m66->2m67->2m68->2m69->6m69->6r70->6`72-><
Cargo :387,	z :0.0748486,	Path :2i34->3i35->3i36->3n38->3n39->2n40->2n41->2n42->2n43->4n43->4]45->4S47->4f48->4T49-><
Cargo :390,	z :1,	Path :2q26->3q27->3a30->3a31->3K38->2K39->2K40->3K41->3V45->3V46->3_55->3X61-><
Cargo :392,	z :0.229765,	Path :2Z37->3Z38->3f40->3f41->3E43->3E44->2E45->2E46->6E46->6m48->6r49->6`51-><
Cargo :393,	z :0.556862,	Path :2r6->3r7->3J10->3J11->3l18->3[22->3[23->3R32-><
Cargo :399,	z :0.450249,	Path :2o31->3o32->3o33->3Z39->3Z40->3\49->3\50->2\51->2\52->2\53->2\54->6\54->6]55-><
Cargo :399,	z :0.549751,	Path :2o52->3o53->3o54->3Z60->3Z61->3\70->3\71->2\72->2\73->2\74->2\75->6\75->6]76-><
Cargo :400,	z :0.0136865,	Path :2Z60->5Z61->5Z62->5e71->5e72->2e73->4e73->4O74->4m76->4T77->4a79-><
Cargo :402,	z :0.363708,	Path :2^56->5^57->5^58->5C61->5C62->5_64->2_65->4_65->4O66->4m68->4T69->4V70-><
Cargo :405,	z :0.367347,	Path :2d56->5d57->5W59->5W60->5W61->2W62->2W63->2W64->2W65->4W65->4k67->4F68->4A69-><
Cargo :406,	z :0.544666,	Path :2c34->3c35->3m42->3m43->3J50->3J51->3J52->3i55->3i56->3i57->3n59->3n60->3b64-><
Cargo :406,	z :0.455334,	Path :2c33->3c34->3B43->2B44->6B44->6P46->6L48->6D50->6^52->6O53->6H54->6b56-><
Cargo :411,	z :0.239437,	Path :2e29->5e30->5O40->5O41->5l48->5l49->2l50->2l51->2l52->2l53->4l53->4R54->4a55-><
Cargo :418,	z :0.307692,	Path :2h3->4h3->4T5->4e6->4c7->4L8->4O9->4d11->4A12-><
Cargo :421,	z :0.204301,	Path :2N25->4N25->4r26->4c27-><
Cargo :422,	z :0.170213,	Path :2O12->5O13->5A17->5A18->2A19->2A20->2A21->2A22->2A23->2A24->4A24->4Q26->4S27->4Y28-><
Cargo :425,	z :0.367626,	Path :2l17->3l18->3[22->3[23->2[24->6[24->6U25->6I26->6p28->6D30-><
Cargo :426,	z :0.00124343,	Path :2_61->3_62->3_63->3Y70->3Y71->2Y72->2Y73->6Y73->6O74->6H75->6b77-><
Cargo :432,	z :0.00349709,	Path :2^35->5^36->5^37->5C40->5C41->5_43->5_44->5O48->5O49->2O50->2O51->4O51->4h53-><
Cargo :437,	z :0.361942,	Path :2J8->3J9->3J10->3J11->3l18->3l19->3Y27->3Y28->3Y29->2Y30->2Y31->6Y31->6O32->6H33-><
Cargo :438,	z :0.0545167,	Path :2d56->5d57->5W59->5a61->5a62->5_64->2_65->4_65->4O66->4R68-><
Cargo :440,	z :0.00905034,	Path :2N55->3N56->3K58->3K59->3O64->3O65->2O66->6O66->6c68->6L69->6M71->6_73-><
Cargo :443,	z :0.548387,	Path :2e65->4e65->4O66->4h68->4o69-><
Cargo :446,	z :1,	Path :2C42->3C43->3h45->3h46->2h47->2h48->6h48->6b49-><
Cargo :457,	z :0.0584114,	Path :2S17->3S18->3q26->3q27->3a30->3a31->3K38->3O43->3O44->2O45->6O45->6c47->6L48-><
Cargo :458,	z :0.257576,	Path :2^35->5^36->5^37->5C40->5C41->5_43->2_44->4_44->4O45->4m47-><
Cargo :458,	z :0.257576,	Path :2^15->5^16->5C19->5C20->5_22->5_23->5O27->5O28->2O29->2O30->2O31->2O32->4O32->4m34-><
Cargo :458,	z :0.257576,	Path :2^36->5^37->5C40->5C41->5_43->5_44->5O48->5O49->2O50->2O51->2O52->2O53->4O53->4m55-><
Cargo :458,	z :0.227273,	Path :2^15->5^16->5C19->5C20->5_22->2_23->4_23->4O24->4m26-><
Cargo :459,	z :1,	Path :2o52->3o53->3o54->3o55->3h58->3h59->3K62->3V66->2V67->6V67->6l68->6a69-><
Cargo :460,	z :0.545267,	Path :2i13->3i14->3W16->3W17->3r23->3r24->2r25->2r26->2r27->3r28->3P32-><
Cargo :468,	z :1,	Path :2K19->3K20->3V24->3V25->2V26->2V27->6V27->6r28->6`30-><
Cargo :472,	z :1,	Path :2c12->3c13->3B22->3B23->2B24->2B25->2B26->2B27->6B27->6C28-><
Cargo :473,	z :1,	Path :2c54->3c55->3B64->3B65->2B66->2B67->2B68->2B69->6B69->6C70-><
Cargo :474,	z :0.0227273,	Path :2_25->4_25->4T26->4e27->4c28->4L29->4O30-><
Cargo :474,	z :0.0177184,	Path :2_67->4_67->4T68->4e69->4c70->4L71->4O72-><
Cargo :474,	z :0.121971,	Path :2_22->4_22->4k23->4c24->4O26-><
Cargo :474,	z :0.0960877,	Path :2_31->4_31->4k32->4c33->4O35-><
Cargo :474,	z :0.121971,	Path :2_52->4_52->4k53->4c54->4O56-><
Cargo :474,	z :0.121971,	Path :2_64->4_64->4k65->4c66->4O68-><
Cargo :474,	z :0.193182,	Path :2_16->4_16->4O17-><
Cargo :475,	z :0.038657,	Path :2X33->3X34->3f36->3f37->3m43->3m44->2m45->2m46->2m47->4m47->4T48->4a50->4p51-><
Cargo :479,	z :1,	Path :2C50->3C51->3U56->2U57->2U58->6U58->6K60-><
Cargo :481,	z :0.216483,	Path :2X33->3X34->3f36->3f37->3m43->3J50->2J51->4J51->4b52->4_53->4T54->4]55->4S57-><
Cargo :482,	z :0.415515,	Path :2o31->3o32->3o33->3o34->3h37->3h38->3K41->3V45->2V46->6V46->6l47->6a48-><
Cargo :482,	z :0.584485,	Path :2o32->3o33->3o34->3h37->3h38->3K41->3V45->2V46->6V46->6l47->6a48-><
